title,destination,duration,price,description,category,difficulty,groupSize,bestTime,availability,originalPrice,rating,reviews,images,itinerary,inclusions,exclusions
Sikkim (North Sikkim) - 8 days,Sikkim,8 days,71988,"Sikkim (North Sikkim) - 8 days: A curated 8 days package to Sikkim covering major highlights, comfortable stays and local experiences.",Luxury,Easy,10-20 people,Summer,6,85960,4.1,883,"https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Sikkim; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Coorg - 5 days,Coorg,5 days,115265,"Coorg - 5 days: A curated 5 days package to Coorg covering major highlights, comfortable stays and local experiences.",Romantic,Challenging,5-12 people,Year-round,16,123427,4.5,1914,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Coorg; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Ooty & Coonoor - 12 days,Ooty & Coonoor,12 days,147395,"Ooty & Coonoor - 12 days: A curated 12 days package to Ooty & Coonoor covering major highlights, comfortable stays and local experiences.",Romantic,Challenging,10-20 people,Year-round,5,151037,3.7,751,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Ooty & Coonoor; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Kodaikanal - 10 days,Kodaikanal,10 days,94261,"Kodaikanal - 10 days: A curated 10 days package to Kodaikanal covering major highlights, comfortable stays and local experiences.",Beach,Moderate,2-8 people,Year-round,6,99190,4.2,1962,"https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470",Day 1: Arrival at Kodaikanal; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Rann of Kutch - 6 days,Rann of Kutch,6 days,142836,"Rann of Kutch - 6 days: A curated 6 days package to Rann of Kutch covering major highlights, comfortable stays and local experiences.",Cultural,Challenging,5-12 people,Summer,29,148036,5,1195,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Rann of Kutch; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Varanasi & Sarnath - 10 days,Varanasi & Sarnath,10 days,7756,"Varanasi & Sarnath - 10 days: A curated 10 days package to Varanasi & Sarnath covering major highlights, comfortable stays and local experiences.",Cultural,Challenging,2-8 people,Year-round,25,31648,4.1,1290,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Varanasi & Sarnath; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Khajuraho & Orchha - 12 days,Khajuraho & Orchha,12 days,133217,"Khajuraho & Orchha - 12 days: A curated 12 days package to Khajuraho & Orchha covering major highlights, comfortable stays and local experiences.",Cultural,Moderate,2-8 people,Year-round,17,137242,4,1795,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Khajuraho & Orchha; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Hampi - 6 days,Hampi,6 days,38769,"Hampi - 6 days: A curated 6 days package to Hampi covering major highlights, comfortable stays and local experiences.",Heritage,Moderate,2-8 people,Summer,37,40223,4.7,1705,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Hampi; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Konkan (Ratnagiri & Ganpatipule) - 5 days,Konkan,5 days,32160,"Konkan (Ratnagiri & Ganpatipule) - 5 days: A curated 5 days package to Konkan covering major highlights, comfortable stays and local experiences.",Wildlife,Challenging,10-20 people,Spring,1,33753,4.3,306,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Konkan; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
"Andhra & Telangana Temple Circuit (Tirupati, Warangal) - 5 days",Andhra & Telangana Temple Circuit,5 days,140492,"Andhra & Telangana Temple Circuit (Tirupati, Warangal) - 5 days: A curated 5 days package to Andhra & Telangana Temple Circuit covering major highlights, comfortable stays and local experiences.",Cultural,Challenging,10-20 people,Summer,18,168782,4.3,208,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1501785888041-af3ef285b470",Day 1: Arrival at Andhra & Telangana Temple Circuit; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Sundarbans & Kolkata - 14 days,Sundarbans & Kolkata,14 days,123851,"Sundarbans & Kolkata - 14 days: A curated 14 days package to Sundarbans & Kolkata covering major highlights, comfortable stays and local experiences.",Mountain,Easy,1-4 people,Autumn,14,132862,3.8,1666,"https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Sundarbans & Kolkata; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
"Northeast Highlights (Assam, Meghalaya) - 12 days",Northeast Highlights,12 days,64813,"Northeast Highlights (Assam, Meghalaya) - 12 days: A curated 12 days package to Northeast Highlights covering major highlights, comfortable stays and local experiences.",Wildlife,Challenging,1-4 people,Spring,36,82977,3.9,85,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Northeast Highlights; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Spiti Valley - 14 days,Spiti Valley,14 days,125143,"Spiti Valley - 14 days: A curated 14 days package to Spiti Valley covering major highlights, comfortable stays and local experiences.",Mountain,Challenging,10-20 people,Year-round,13,148014,4,1856,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Spiti Valley; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Auli - 12 days,Auli,12 days,38660,"Auli - 12 days: A curated 12 days package to Auli covering major highlights, comfortable stays and local experiences.",Mountain,Moderate,5-12 people,Spring,15,47751,3.5,1413,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Auli; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Ranthambore & Jaipur (Wildlife + Heritage) - 2 days,Ranthambore & Jaipur,2 days,9528,"Ranthambore & Jaipur (Wildlife + Heritage) - 2 days: A curated 2 days package to Ranthambore & Jaipur covering major highlights, comfortable stays and local experiences.",Wildlife,Challenging,1-4 people,Spring,23,24795,4,276,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Ranthambore & Jaipur; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Jim Corbett National Park - 14 days,Jim Corbett National Park,14 days,50225,"Jim Corbett National Park - 14 days: A curated 14 days package to Jim Corbett National Park covering major highlights, comfortable stays and local experiences.",Wildlife,Challenging,10-20 people,Spring,21,66494,4.7,796,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Jim Corbett National Park; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Kaziranga National Park - 7 days,Kaziranga National Park,7 days,80274,"Kaziranga National Park - 7 days: A curated 7 days package to Kaziranga National Park covering major highlights, comfortable stays and local experiences.",Wildlife,Moderate,1-4 people,Spring,31,84665,4.7,904,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Kaziranga National Park; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Bandhavgarh National Park - 3 days,Bandhavgarh National Park,3 days,82527,"Bandhavgarh National Park - 3 days: A curated 3 days package to Bandhavgarh National Park covering major highlights, comfortable stays and local experiences.",Wildlife,Moderate,10-20 people,Summer,20,85929,4.1,938,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Bandhavgarh National Park; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Jim Corbett & Nainital - 12 days,Jim Corbett & Nainital,12 days,94926,"Jim Corbett & Nainital - 12 days: A curated 12 days package to Jim Corbett & Nainital covering major highlights, comfortable stays and local experiences.",Wildlife,Easy,2-8 people,Spring,31,116242,4.8,1754,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Jim Corbett & Nainital; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Pondicherry & Auroville - 12 days,Pondicherry & Auroville,12 days,63292,"Pondicherry & Auroville - 12 days: A curated 12 days package to Pondicherry & Auroville covering major highlights, comfortable stays and local experiences.",Beach,Challenging,2-8 people,Summer,34,89772,3.8,213,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Pondicherry & Auroville; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Mysore & Coorg - 6 days,Mysore & Coorg,6 days,45980,"Mysore & Coorg - 6 days: A curated 6 days package to Mysore & Coorg covering major highlights, comfortable stays and local experiences.",Romantic,Moderate,10-20 people,Year-round,7,66904,4.3,1881,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Mysore & Coorg; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Leh Ladakh Motorbike Tour - 8 days,Leh Ladakh Motorbike Tour,8 days,83614,"Leh Ladakh Motorbike Tour - 8 days: A curated 8 days package to Leh Ladakh Motorbike Tour covering major highlights, comfortable stays and local experiences.",Mountain,Challenging,2-8 people,Autumn,14,89053,3.9,941,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Leh Ladakh Motorbike Tour; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Taj & Agra Day Trip - 4 days,Taj & Agra Day Trip,4 days,41937,"Taj & Agra Day Trip - 4 days: A curated 4 days package to Taj & Agra Day Trip covering major highlights, comfortable stays and local experiences.",Cultural,Challenging,5-12 people,Winter,3,48735,4.2,1275,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Taj & Agra Day Trip; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Bengaluru Weekend (Nandi Hills) - 7 days,Bengaluru Weekend,7 days,27980,"Bengaluru Weekend (Nandi Hills) - 7 days: A curated 7 days package to Bengaluru Weekend covering major highlights, comfortable stays and local experiences.",Mountain,Challenging,1-4 people,Summer,15,46419,3.8,74,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Bengaluru Weekend; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Munnar Tea Trails - 5 days,Munnar Tea Trails,5 days,129564,"Munnar Tea Trails - 5 days: A curated 5 days package to Munnar Tea Trails covering major highlights, comfortable stays and local experiences.",Romantic,Moderate,10-20 people,Spring,38,141694,3.6,1531,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Munnar Tea Trails; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Saurashtra (Dwarka & Somnath) - 12 days,Saurashtra,12 days,72624,"Saurashtra (Dwarka & Somnath) - 12 days: A curated 12 days package to Saurashtra covering major highlights, comfortable stays and local experiences.",Adventure,Challenging,1-4 people,Summer,32,96260,3.8,1761,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Saurashtra; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Puri & Konark - 14 days,Puri & Konark,14 days,120491,"Puri & Konark - 14 days: A curated 14 days package to Puri & Konark covering major highlights, comfortable stays and local experiences.",Romantic,Challenging,1-4 people,Summer,33,123423,3.6,10,"https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1501785888041-af3ef285b470",Day 1: Arrival at Puri & Konark; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Havelock & Neil Islands - 9 days,Havelock & Neil Islands,9 days,128989,"Havelock & Neil Islands - 9 days: A curated 9 days package to Havelock & Neil Islands covering major highlights, comfortable stays and local experiences.",Beach,Challenging,10-20 people,Winter,1,133506,4.3,1735,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Havelock & Neil Islands; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Lakshadweep (Agatti) - 6 days,Lakshadweep,6 days,147141,"Lakshadweep (Agatti) - 6 days: A curated 6 days package to Lakshadweep covering major highlights, comfortable stays and local experiences.",Beach,Easy,1-4 people,Autumn,9,150617,4.4,1586,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Lakshadweep; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Kanha National Park - 6 days,Kanha National Park,6 days,8269,"Kanha National Park - 6 days: A curated 6 days package to Kanha National Park covering major highlights, comfortable stays and local experiences.",Wildlife,Challenging,2-8 people,Winter,33,11143,5,903,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Kanha National Park; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Pench & Tadoba Safari - 9 days,Pench & Tadoba Safari,9 days,24775,"Pench & Tadoba Safari - 9 days: A curated 9 days package to Pench & Tadoba Safari covering major highlights, comfortable stays and local experiences.",Wildlife,Easy,2-8 people,Autumn,13,37986,4.2,387,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Pench & Tadoba Safari; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Gokarna & Om Beach - 2 days,Gokarna & Om Beach,2 days,113116,"Gokarna & Om Beach - 2 days: A curated 2 days package to Gokarna & Om Beach covering major highlights, comfortable stays and local experiences.",Beach,Challenging,10-20 people,Autumn,26,137765,3.9,25,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Gokarna & Om Beach; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Mahabaleshwar Weekend - 9 days,Mahabaleshwar Weekend,9 days,58640,"Mahabaleshwar Weekend - 9 days: A curated 9 days package to Mahabaleshwar Weekend covering major highlights, comfortable stays and local experiences.",Adventure,Easy,1-4 people,Summer,14,70978,4.3,1352,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Mahabaleshwar Weekend; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Panchgani & Satara - 9 days,Panchgani & Satara,9 days,101821,"Panchgani & Satara - 9 days: A curated 9 days package to Panchgani & Satara covering major highlights, comfortable stays and local experiences.",Luxury,Easy,5-12 people,Winter,0,105236,4.7,313,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Panchgani & Satara; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Andhra Coastal (Vizag & Araku Valley) - 8 days,Andhra Coastal,8 days,148941,"Andhra Coastal (Vizag & Araku Valley) - 8 days: A curated 8 days package to Andhra Coastal covering major highlights, comfortable stays and local experiences.",Beach,Easy,10-20 people,Autumn,20,171243,3.9,215,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Andhra Coastal; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
